bd8017ba-8dde-4ce9-abf3-ca7ad8ee74d2	20221207	09:35:12}	GET	/books/63896979644e3906b809c62e
a0acca82-90ad-4f97-8086-3e87be441f9a	20221207	09:35:37}	GET	/books/63896979644e3906b809c62e
66e7f721-ea3c-4044-819e-549b6ff3a84a	20221207	09:35:42}	GET	/books/
e1b0d4ab-b83c-4db1-8068-702051d9c15a	20221207	09:35:51}	GET	/books/6389708ee22bf1f43b85d910
4854f353-7325-461c-9bfb-c9492c664666	20221207	09:36:49}	GET	/books/6389708ee22bf1f43b85d910/reviews
46d02228-e44f-402c-803e-1be4eabaefdb	20221207	09:40:09}	GET	/books/6389708ee22bf1f43b85d910/reviews
c457a2a4-dbb4-47f3-acbc-98a14fd303cd	20221207	09:43:07}	GET	/books/
1ceccaa8-5c3d-423c-8263-fe15fcc19bd2	20221207	09:43:37}	GET	/books/63896979644e3906b809c62e
571fe981-4592-42f6-b401-4ea4d7b9d447	20221207	09:44:24}	GET	/books/63896979644e3906b809c62e
b4229347-d166-46c7-bd55-11780fb5f4e8	20221207	09:46:26}	GET	/books/63896979644e3906b809c62e
4e70a377-afb8-4087-9e29-c17ad3f2e8a8	20221207	09:46:39}	GET	/books/63896979644e3906b809c62e
76a5f080-fe42-40f8-b534-e6b20c54717c	20221207	09:46:56}	POST	/books/63896979644e3906b809c62e
32096fed-1d43-4d6f-bf62-441e9aff1db3	20221207	09:47:26}	POST	/books/63896979644e3906b809c62e
0a69f4de-7be7-4cfc-a688-97605ce05cde	20221207	09:47:33}	POST	/books/63896979644e3906b809c62e/review
8c0d6d4a-835b-470a-8a7a-e51e41f84496	20221207	09:48:31}	POST	/books/63896979644e3906b809c62e
a4be518b-daff-4782-a568-28215b24cb38	20221207	09:48:34}	POST	/books/63896979644e3906b809c62e
f0a28eac-749b-4963-af66-ad3df27e9f2f	20221207	09:48:46}	POST	/books/63896979644e3906b809c62e/reviews
f5b23b08-4091-4a6e-b0c8-365ba98505f4	20221207	09:49:33}	POST	/books/63896979644e3906b809c62e/reviews
75c9ea47-6385-4d61-b6d1-0526a37fb2c1	20221207	09:49:41}	POST	/books/63896979644e3906b809c62e/reviews
f79dd835-69ab-4ae7-9750-9652052d1a7d	20221207	09:50:13}	POST	/books/63896979644e3906b809c62e/reviews
222b5a59-e55d-48f2-aa97-97eeede3661f	20221207	09:50:42}	POST	/books/63896979644e3906b809c62e/review
f65cfcc2-da88-405c-a627-f8a1a0971aed	20221207	09:51:00}	POST	/books/63896979644e3906b809c62e/reviews
6cf37371-2b25-4b60-b7fb-d4278f3b0981	20221207	09:51:55}	POST	/books/63896979644e3906b809c62e/reviews
9fc768ca-a61c-48e6-ae8f-38152dbc10b4	20221207	09:52:26}	GET	/books/63896979644e3906b809c62e
b0020740-2386-4315-84e5-eb019de08f8c	20221207	09:52:39}	POST	/books/63896979644e3906b809c62e/reviews
